DATE,BEFORE,TYPE
1/7/2019,0,Bi-Weekly Payroll
1/21/2019,0,Bi-Weekly Payroll
2/4/2019,0,Bi-Weekly Payroll
2/18/2019,0,Bi-Weekly Payroll
3/4/2019,0,Bi-Weekly Payroll
3/18/2019,0,Bi-Weekly Payroll
4/1/2019,0,Bi-Weekly Payroll
4/15/2019,0,Bi-Weekly Payroll
4/29/2019,0,Bi-Weekly Payroll
5/13/2019,0,Bi-Weekly Payroll
5/28/2019,0,Bi-Weekly Payroll
6/10/2019,0,Bi-Weekly Payroll
6/24/2019,0,Bi-Weekly Payroll
7/8/2019,0,Bi-Weekly Payroll
7/22/2019,0,Bi-Weekly Payroll
8/5/2019,0,Bi-Weekly Payroll
8/19/2019,0,Bi-Weekly Payroll
9/3/2019,0,Bi-Weekly Payroll
9/16/2019,0,Bi-Weekly Payroll
9/30/2019,0,Bi-Weekly Payroll
10/14/2019,0,Bi-Weekly Payroll
10/28/2019,0,Bi-Weekly Payroll
11/11/2019,0,Bi-Weekly Payroll
11/25/2019,0,Bi-Weekly Payroll
12/9/2019,0,Bi-Weekly Payroll
12/23/2019,0,Bi-Weekly Payroll
1/6/2020,0,Bi-Weekly Payroll
1/10/2019,2,Mid-Month Expense Reimbursements 
2/12/2019,2,Mid-Month Expense Reimbursements 
3/12/2019,2,Mid-Month Expense Reimbursements 
4/10/2019,2,Mid-Month Expense Reimbursements 
5/10/2019,2,Mid-Month Expense Reimbursements 
6/11/2019,2,Mid-Month Expense Reimbursements 
7/10/2019,2,Mid-Month Expense Reimbursements 
8/12/2019,2,Mid-Month Expense Reimbursements 
9/11/2019,2,Mid-Month Expense Reimbursements 
10/10/2019,2,Mid-Month Expense Reimbursements 
11/12/2019,2,Mid-Month Expense Reimbursements 
12/11/2019,2,Mid-Month Expense Reimbursements 
1/25/2019,2,Monthly Payroll
2/22/2019,2,Monthly Payroll
3/25/2019,2,Monthly Payroll
4/24/2019,2,Monthly Payroll
5/28/2019,2,Monthly Payroll
6/24/2019,2,Monthly Payroll
7/25/2019,2,Monthly Payroll
8/26/2019,2,Monthly Payroll
9/25/2019,2,Monthly Payroll
10/25/2019,2,Monthly Payroll
11/25/2019,2,Monthly Payroll
12/24/2019,2,Monthly Payroll
